time,ra,dec,distance
0,0.0,0.0,1000.0
1,0.36,0.18,1000.1
2,0.72,0.36,1000.2
3,1.08,0.54,1000.3
4,1.44,0.72,1000.4
5,1.8,0.9,1000.5
6,2.16,1.08,1000.6
7,2.52,1.26,1000.7
8,2.88,1.44,1000.8
9,3.24,1.62,1000.9
10,3.6,1.8,1001.0
11,3.96,1.98,1001.1
12,4.32,2.16,1001.2
13,4.68,2.34,1001.3
14,5.04,2.52,1001.4
15,5.4,2.7,1001.5
16,5.76,2.88,1001.6
17,6.12,3.06,1001.7
18,6.48,3.24,1001.8
19,6.84,3.42,1001.9
20,7.2,3.6,1002.0
21,7.56,3.78,1002.1
22,7.92,3.96,1002.2
23,8.28,4.14,1002.3
24,8.64,4.32,1002.4
25,9.0,4.5,1002.5
26,9.36,4.68,1002.6
27,9.72,4.86,1002.7
28,10.08,5.04,1002.8
29,10.44,5.22,1002.9
30,10.8,5.4,1003.0
31,11.16,5.58,1003.1
32,11.52,5.76,1003.2
33,11.88,5.94,1003.3
34,12.24,6.12,1003.4
35,12.6,6.3,1003.5
36,12.96,6.48,1003.6
37,13.32,6.66,1003.7
38,13.68,6.84,1003.8
39,14.04,7.02,1003.9
40,14.4,7.2,1004.0
41,14.76,7.38,1004.1
42,15.12,7.56,1004.2
43,15.48,7.74,1004.3
44,15.84,7.92,1004.4
45,16.2,8.1,1004.5
46,16.56,8.28,1004.6
47,16.92,8.46,1004.7
48,17.28,8.64,1004.8
49,17.64,8.82,1004.9
50,18.0,9.0,1005.0
51,18.36,9.18,1005.1
52,18.72,9.36,1005.2
53,19.08,9.54,1005.3
54,19.44,9.72,1005.4
55,19.8,9.9,1005.5
56,20.16,10.08,1005.6
57,20.52,10.26,1005.7
58,20.88,10.44,1005.8
59,21.24,10.62,1005.9
60,21.6,10.8,1006.0
61,21.96,10.98,1006.1
62,22.32,11.16,1006.2
63,22.68,11.34,1006.3
64,23.04,11.52,1006.4
65,23.4,11.7,1006.5
66,23.76,11.88,1006.6
67,24.12,12.06,1006.7
68,24.48,12.24,1006.8
69,24.84,12.42,1006.9
70,25.2,12.6,1007.0
71,25.56,12.78,1007.1
72,25.92,12.96,1007.2
73,26.28,13.14,1007.3
74,26.64,13.32,1007.4
75,27.0,13.5,1007.5
76,27.36,13.68,1007.6
77,27.72,13.86,1007.7
78,28.08,14.04,1007.8
79,28.44,14.22,1007.9
80,28.8,14.4,1008.0
81,29.16,14.58,1008.1
82,29.52,14.76,1008.2
83,29.88,14.94,1008.3
84,30.24,15.12,1008.4
85,30.6,15.3,1008.5
86,30.96,15.48,1008.6
87,31.32,15.66,1008.7
88,31.68,15.84,1008.8
89,32.04,16.02,1008.9
90,32.4,16.2,1009.0
91,32.76,16.38,1009.1
92,33.12,16.56,1009.2
93,33.48,16.74,1009.3
94,33.84,16.92,1009.4
95,34.2,17.1,1009.5
96,34.56,17.28,1009.6
97,34.92,17.46,1009.7
98,35.28,17.64,1009.8
99,35.64,17.82,1009.9
100,36.0,18.0,1010.0
101,36.36,18.18,1010.1
102,36.72,18.36,1010.2
103,37.08,18.54,1010.3
104,37.44,18.72,1010.4
105,37.8,18.9,1010.5
106,38.16,19.08,1010.6
107,38.52,19.26,1010.7
108,38.88,19.44,1010.8
109,39.24,19.62,1010.9
110,39.6,19.8,1011.0
111,39.96,19.98,1011.1
112,40.32,20.16,1011.2
113,40.68,20.34,1011.3
114,41.04,20.52,1011.4
115,41.4,20.7,1011.5
116,41.76,20.88,1011.6
117,42.12,21.06,1011.7
118,42.48,21.24,1011.8
119,42.84,21.42,1011.9
